1,Abdullah,0321-1234567,abdullah@abdullah.com,2,0,true,3779,540,false,60
2,Ali,0312-1234567,ali@ali.com,1,0,true,1500,240,false,60
3,Yousaf,0312-1234567,yousaf@yousaf.com,2,0,true,1500,300,false,60
4,Usman,0312-1234567,usman@usman.com,2,1000,false,2160,420,false,60
5,Areeb,0321-1234567,Areeb@areeb.com,2,0,true,2810,520,false,60
6,Abdullah Khan,0321-1234567,abdullah@abdullah.com,2,0,true,4739,660,false,60
7,Arif,0321-1234567,arif@arif.com,2,0,true,1950,420,false,60
8,Faraz,0321-1234567,faraz@faraz.com,1,500,false,615,90,false,60
9,Anas,0321-1234567,anas@anas.com,2,1000,false,360,60,false,60
10,king,03105462387,king@king.com,2,1000,false,357,55,false,0
